service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,1,1,20150702,20150904
2,1,1,1,1,1,0,0,20150702,20150904
3,0,0,0,0,1,0,0,20150905,20151021
4,0,0,0,1,0,0,0,20150905,20151021
5,1,1,1,0,0,0,0,20150905,20151021
6,0,0,0,0,0,1,1,20150905,20151021
7,0,1,1,1,0,0,0,20150929,20151001
8,1,1,1,1,1,0,0,20151022,20151202
9,0,0,0,0,0,1,1,20151022,20151202
10,1,1,1,0,0,0,0,20151203,20160101
11,0,0,0,1,0,0,0,20151203,20160101
12,0,0,0,0,1,0,0,20151203,20160101
13,0,0,0,0,0,1,1,20151203,20160101
14,0,0,0,1,0,0,0,20151224,20151224
15,0,0,0,0,1,0,0,20151225,20151225
16,0,0,0,1,0,0,0,20151231,20151231
17,0,0,0,0,1,0,0,20160101,20160101
18,1,1,1,1,1,0,0,20160102,20160408
19,0,0,0,0,0,1,0,20160102,20160408
20,0,0,0,0,0,0,1,20160102,20160408
21,1,1,1,1,1,0,0,20160409,20161021
22,0,0,0,0,0,1,0,20160409,20171215
23,0,0,0,0,0,0,1,20160409,20171215
24,1,1,1,1,1,0,0,20161022,20161202
25,1,1,1,1,1,0,0,20161203,20170127
26,1,1,1,1,1,0,0,20170128,20170423
27,1,1,1,1,1,0,0,20170424,20170819
28,1,1,1,1,1,0,0,20170819,20171022
29,1,1,1,1,1,0,0,20171023,20171215
30,0,0,0,0,0,1,0,20171216,20180615
31,0,0,0,0,0,0,1,20171216,20180615
32,1,1,1,1,1,0,0,20171216,20180615
33,1,1,1,1,1,0,0,20180616,20181012
34,0,0,0,0,0,1,0,20180616,20181012
35,0,0,0,0,0,0,1,20180616,20181012
36,1,1,1,1,1,0,0,20181013,20181209
37,0,0,0,0,0,1,0,20181013,20190712
38,0,0,0,0,0,0,1,20181013,20191014
39,1,1,1,1,1,0,0,20181210,20190215
40,1,1,1,1,1,0,0,20190216,20190412
41,1,1,1,1,1,0,0,20190413,20190712
42,1,1,1,1,1,0,0,20190713,20191011
43,0,0,0,0,0,1,0,20190713,20191011
44,1,1,1,1,1,0,0,20191012,20191206
45,0,0,0,0,0,1,0,20191012,20191206
46,0,0,0,0,0,0,1,20191012,20191206
47,1,1,1,1,1,0,0,20191207,20200913
48,0,0,0,0,0,1,0,20191207,20200913
49,0,0,0,0,0,0,1,20191207,20200913
50,1,1,1,1,1,0,0,20200914,20201204
51,0,0,0,0,0,1,0,20200914,20201204
52,0,0,0,0,0,0,1,20200914,20201204
53,1,1,1,1,1,0,0,20201205,20210129
54,0,0,0,0,0,1,0,20201205,20210129
55,0,0,0,0,0,0,1,20201205,20210311
56,1,1,1,1,1,0,0,20210130,20210311
57,0,0,0,0,0,1,0,20210130,20210311
58,0,0,0,0,0,0,1,20210312,20210604
59,1,1,1,1,1,0,0,20210312,20210328
60,0,0,0,0,0,1,0,20210312,20210604
61,1,1,1,1,1,0,0,20210329,20210604
62,1,1,1,1,1,0,0,20210605,20210905
63,0,0,0,0,0,1,0,20210605,20211008
64,0,0,0,0,0,0,1,20210605,20211008
65,1,1,1,1,1,0,0,20210906,20211008
66,1,1,1,1,1,0,0,20211009,20211203
67,0,0,0,0,0,1,0,20211009,20211203
68,0,0,0,0,0,0,1,20211009,20211203
69,1,1,1,1,1,0,0,20211204,20221204
70,0,0,0,0,0,1,0,20211204,20221204
71,0,0,0,0,0,0,1,20211204,20221204
