trip_id,start_time,end_time,headway_secs,exact_times
8599,00:00:00,03:00:00,3600,1
8605,06:00:00,06:50:00,600,1
8605,06:58:00,08:50:00,480,1
8606,09:00:00,14:00:00,900,1
8606,14:12:00,14:48:00,720,1
8606,15:00:00,15:20:00,600,1
8607,15:28:00,17:36:00,960,1
8609,18:00:00,21:15:00,900,1
8609,21:30:00,23:30:00,1200,1
8610,00:00:00,15:00:00,3600,1
8612,05:00:00,06:30:00,1800,1
8612,06:50:00,23:30:00,1200,1
8613,00:00:00,03:00:01,3600,1
8615,05:00:00,23:30:01,1800,1
8617,00:34:00,03:34:00,3600,1
8638,09:33:00,14:33:00,900,1
8638,14:45:00,15:21:00,720,1
8641,15:50:00,17:58:00,480,1
8648,19:33:00,22:03:00,900,1
8648,22:43:00,23:43:00,1200,1
8650,00:34:00,03:34:00,3600,1
8652,05:35:00,07:05:00,1800,1
8652,07:25:00,23:45:00,1200,1
8654,00:34:00,04:33:59,3600,1
8659,07:05:00,23:35:01,1800,1
8685,09:33:00,14:47:59,900,1
8714,19:18:00,20:17:59,900,1
8715,22:23:00,23:44:01,1200,1
8717,00:34:00,04:33:59,3600,1
8722,07:05:00,17:24:59,1200,1
8731,00:00:00,04:00:01,3600,1
8758,09:00:00,14:00:01,900,1
8777,18:00:00,21:15:01,900,1
8777,21:30:00,23:30:01,1200,1
8778,00:00:00,03:00:01,3600,1
8780,05:00:00,06:30:01,1800,1
8781,06:50:00,21:30:01,1200,1
8819,09:00:00,14:00:01,900,1
8838,18:00:00,21:30:01,900,1
8838,21:50:00,23:30:01,1200,1
8847,06:30:00,21:30:01,1200,1
8859,05:00:00,23:30:01,1800,1
8885,09:33:00,14:33:01,900,1
8914,19:18:00,22:03:01,900,1
8914,22:23:00,23:43:01,1200,1
8924,07:05:00,21:05:01,1200,1
8939,05:35:00,23:35:01,1800,1
8971,09:00:00,14:00:01,900,1
8994,19:00:00,21:30:01,900,1
9026,09:33:00,14:33:01,900,1
9057,19:54:00,21:39:01,900,1
9066,00:34:00,03:34:01,3600,1
9068,05:35:00,07:05:01,1800,1
9068,07:25:00,21:05:01,1200,1
9078,00:34:00,03:34:01,3600,1
9080,05:35:00,23:35:01,1800,1
9081,00:00:00,03:00:01,3600,1
9083,05:00:00,06:30:01,1800,1
9083,06:50:00,21:30:01,1200,1
9090,00:00:00,03:00:01,3600,1
9092,05:00:00,23:30:01,1800,1
9093,00:00:00,03:00:01,3600,1
9094,04:00:00,04:30:01,1800,1
9094,05:00:00,06:00:01,900,1
9113,08:45:00,14:15:01,900,1
9131,17:50:00,21:35:01,900,1
9131,21:55:00,23:15:01,1200,1
9134,00:37:00,03:37:01,3600,1
9154,09:36:00,14:06:01,900,1
9186,19:26:00,22:11:02,900,1
9186,22:31:00,23:51:01,1200,1
9188,00:34:00,03:34:01,3600,1
9192,05:48:00,06:33:01,900,1
9210,10:03:00,13:48:01,900,1
9259,22:21:00,23:41:01,1200,1
9260,00:00:00,03:00:01,3600,1
9264,05:15:00,06:00:01,900,1
9265,06:10:00,06:50:01,600,1
9267,07:04:00,07:28:01,360,1
9274,08:15:00,08:45:01,300,1
9278,09:30:00,14:00:01,900,1
9279,14:12:00,15:00:01,720,1
9280,15:10:00,15:30:01,600,1
9299,19:15:00,21:30:01,900,1
9300,21:50:00,23:30:01,1200,1
9302,00:34:00,03:34:01,3600,1
9305,05:35:00,06:35:01,900,1
9322,09:50:00,13:20:01,900,1
9359,19:04:00,21:19:01,900,1
9362,20:05:00,23:45:01,1200,1
9364,00:34:00,03:34:01,3600,1
9366,05:35:00,07:05:01,1800,1
9367,07:25:00,23:45:01,1200,1
9369,00:34:00,03:34:01,3600,1
9371,05:35:00,23:35:01,1800,1
9372,00:00:00,03:00:01,3600,1
9405,09:15:00,14:00:01,900,1
9429,18:30:00,21:15:01,900,1
9430,21:30:00,23:30:01,1200,1
9431,00:00:00,03:00:01,3600,1
9436,06:30:00,23:30:01,1200,1
9437,00:00:00,03:00:01,3600,1
9439,05:00:00,23:30:01,1800,1
9441,00:34:00,03:34:02,3600,1
9536,00:34:00,03:34:01,3600,1
9538,05:35:00,07:05:01,1800,1
9539,07:25:00,23:45:01,1200,1
9541,00:34:00,03:34:01,3600,1
9543,05:35:00,23:35:01,1800,1
9544,00:00:00,03:00:01,3600,1
9568,08:13:00,08:48:01,300,1
9571,09:15:00,14:00:01,900,1
9597,19:00:00,21:30:01,900,1
9598,21:50:00,23:30:01,1200,1
9599,00:00:00,03:00:01,3600,1
9601,05:00:00,06:30:01,1800,1
9602,06:50:00,23:30:01,1200,1
9603,00:00:00,03:00:02,3600,1
9605,05:00:00,23:30:01,1800,1
